"Rank","Title","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close"
"1","The Hunger Games: Catching Fire","LGF",424668047,4163,158074286,4163,"11/22","4/3"
"2","Iron Man 3","BV",409013994,4253,174144585,4253,"5/3","9/12"
"3","Frozen","BV",400738009,3742,243390,1,"11/22","7/17"
"4","Despicable Me 2","Uni.",368061265,4003,83517315,3997,"7/3","1/16"
"5","Man of Steel","WB",291045518,4207,116619362,4207,"6/14","9/19"
"6","Gravity","WB",274092705,3820,55785112,3575,"10/4","5/8"
"7","Monsters University","BV",268492764,4004,82429469,4004,"6/21","12/19"
"8","The Hobbit: The Desolation of Smaug","WB",258366855,3928,73645197,3903,"12/13","4/17"
"9","Fast & Furious 6","Uni.",238679850,3771,97375245,3658,"5/24","9/5"
"10","Oz The Great and Powerful","BV",234911825,3912,79110453,3912,"3/8","7/18"
"11","Star Trek Into Darkness","Par.",228778661,3907,70165559,3868,"5/16","9/12"
"12","Thor: The Dark World","BV",206362140,3841,85737841,3841,"11/8","4/17"
"13","World War Z","Par.",202359711,3607,66411834,3607,"6/21","10/10"
"14","The Croods","Fox",187168425,4065,43639736,4046,"3/22","9/19"
"15","The Heat","Fox",159582188,3184,39115043,3181,"6/28","12/12"
"16","We're the Millers","WB",150394119,3445,26419396,3260,"8/7","12/5"
"17","American Hustle","Sony",150117807,2629,740455,6,"12/13","4/6"
"18","The Great Gatsby","WB",144840419,3550,50085185,3535,"5/10","8/22"
"19","The Conjuring","WB",137400141,3115,41855326,2903,"7/19","10/31"
"20","Identity Thief","Uni.",134506920,3230,34551025,3141,"2/8","6/6"
"21","Grown Ups 2","Sony",133668525,3491,41508572,3491,"7/12","11/17"
"22","The Wolverine","Fox",132556852,3924,53113752,3924,"7/26","12/5"
"23","Anchorman 2: The Legend Continues","Par.",125168368,3507,26232425,3507,"12/18","2/20"
"24","Lone Survivor","Uni.",125095601,3285,90872,2,"12/25","4/10"
"25","G.I. Joe: Retaliation","Par.",122523060,3734,40501814,3719,"3/28","7/18"
"26","Cloudy with a Chance of Meatballs 2","Sony",119793567,4001,34017930,4001,"9/27","3/16"
