"Title","imdb_Rating","Genres","Runtime","imdb_Votes"
"The Wolf of Wall Street",8.2,"Biography | Comedy | Crime | Drama",180,"550,986"
"Gravity",7.9,"Sci-Fi | Thriller",91,"482,919"
"Man of Steel",7.2,"Action | Adventure | Fantasy | Sci-Fi",143,"450,989"
"Iron Man 3",7.3,"Action | Adventure | Sci-Fi",130,"447,969"
"The Hunger Games: Catching Fire",7.7,"Adventure | Sci-Fi",146,"403,381"
"The Hobbit: The Desolation of Smaug",8,"Adventure | Fantasy",161,"393,416"
"World War Z",7,"Action | Adventure | Horror | Sci-Fi | Thriller",116,"376,417"
"Now You See Me",7.3,"Crime | Mystery | Thriller",115,"360,719"
"Star Trek Into Darkness",7.8,"Action | Adventure | Sci-Fi",132,"338,980"
"Frozen",7.7,"Animation | Adventure | Comedy | Family | Fantasy | Musical",102,"325,893"
"12 Years a Slave",8.1,"Biography | Drama | History",134,"320,967"
"Oblivion",7,"Action | Adventure | Mystery | Sci-Fi",124,"316,201"
"Pacific Rim",7,"Action | Adventure | Sci-Fi",132,"315,965"
"Thor: The Dark World",7.1,"Action | Adventure | Fantasy",112,"312,243"
"The Great Gatsby",7.3,"Drama | Romance",143,"302,198"
"American Hustle",7.3,"Crime | Drama",138,"296,438"
"Prisoners",8.1,"Crime | Drama | Mystery | Thriller",153,"281,822"
"Captain Phillips",7.9,"Biography | Drama | Thriller",134,"274,273"
"Elysium",6.7,"Action | Drama | Sci-Fi | Thriller",109,"271,193"
"Her",8,"Drama | Romance | Sci-Fi",126,"270,720"
"The Wolverine",6.7,"Action | Adventure | Sci-Fi | Thriller",126,"264,310"
"This Is the End",6.7,"Comedy | Fantasy",107,"261,409"
"We're the Millers",7.1,"Comedy",110,"260,938"
"Dallas Buyers Club",8,"Biography | Drama",117,"254,120"
"Fast & Furious 6",7.2,"Action | Crime | Thriller",130,"242,417"
"The Conjuring",7.5,"Horror",112,"232,570"
"Rush",8.2,"Action | Biography | Drama | Sport",123,"232,572"
"Despicable Me 2",7.5,"Animation | Comedy | Family",98,"225,018"
"The Secret Life of Walter Mitty",7.4,"Adventure | Comedy | Drama | Fantasy",114,"195,931"
"Monsters University",7.4,"Animation | Adventure | Comedy | Family | Fantasy",104,"184,978"
"The Hangover Part III",5.9,"Comedy",100,"176,452"
"Olympus Has Fallen",6.5,"Action | Thriller",119,"167,169"
"Kick-Ass 2",6.7,"Action | Comedy | Crime",103,"164,392"
"Oz the Great and Powerful",6.4,"Adventure | Family | Fantasy",130,"160,607"
"Don Jon",6.6,"Comedy | Drama | Romance",90,"160,426"
"Warm Bodies",7,"Comedy | Horror | Romance",98,"159,831"
"Lone Survivor",7.6,"Action | Biography | Drama | Thriller | War",121,"159,258"
"The Lone Ranger",6.5,"Action | Adventure | Western",149,"156,895"
"Ender's Game",6.7,"Action | Sci-Fi",114,"156,261"
"Gangster Squad",6.8,"Action | Crime | Drama | Thriller",113,"155,737"
"About Time",7.8,"Drama | Fantasy | Romance",123,"152,429"
"Escape Plan",6.8,"Action | Mystery | Thriller",115,"146,899"
"A Good Day to Die Hard",5.3,"Action | Crime | Thriller",98,"144,964"
"The World's End",7,"Action | Comedy | Sci-Fi",109,"145,000"
"After Earth",5,"Action | Adventure | Sci-Fi",100,"139,015"
"Hansel & Gretel: Witch Hunters",6.1,"Action | Fantasy | Horror",88,"137,840"
"The Internship",6.3,"Comedy",119,"136,665"
"Pain & Gain",6.5,"Action | Comedy | Crime | Drama",129,"135,954"
"White House Down",6.4,"Action | Drama | Thriller",131,"135,809"
"2 Guns",6.8,"Action | Comedy | Crime | Drama | Thriller",109,"132,174"
"Side Effects",7.1,"Crime | Drama | Thriller",106,"130,089"
"G.I. Joe: Retaliation",5.8,"Action | Adventure | Sci-Fi | Thriller",110,"127,745"
"Snowpiercer",7,"Action | Sci-Fi | Thriller",126,"127,316"
"The Croods",7.3,"Animation | Adventure | Comedy | Family | Fantasy",98,"123,716"
"Blue Jasmine",7.3,"Drama",98,"122,378"
"Mama",6.2,"Horror",100,"111,157"
"The Heat",6.7,"Action | Comedy | Crime",117,"110,998"
"The Purge",5.6,"Horror | Thriller",85,"107,655"
"Evil Dead",6.5,"Horror",91,"107,571"
"Riddick",6.4,"Action | Sci-Fi | Thriller",119,"105,873"
"Anchorman 2: The Legend Continues",6.4,"Comedy",119,"104,746"
"RED 2",6.7,"Action | Comedy | Crime | Thriller",116,"103,449"
"The Last Stand",6.4,"Action | Crime | Thriller",107,"102,311"
"47 Ronin",6.3,"Action | Adventure | Fantasy",118,"98,834"
"The Way Way Back",7.4,"Comedy | Drama",103,"98,704"
"Saving Mr. Banks",7.6,"Biography | Comedy | Drama | History | Music",125,"95,255"
"Jack the Giant Slayer",6.3,"Adventure | Fantasy",114,"92,610"
"Carrie",6,"Drama | Horror",100,"90,744"
"Last Vegas",6.7,"Comedy",105,"90,636"
"The Mortal Instruments: City of Bones",6,"Action | Adventure | Fantasy | Mystery | Romance",130,"89,497"
"Grown Ups 2",5.4,"Comedy",101,"88,282"
"Identity Thief",5.7,"Comedy | Crime",111,"81,581"
"Trance",7,"Crime | Drama | Mystery | Thriller",101,"80,443"
"The Host",5.9,"Adventure | Romance | Sci-Fi",125,"78,912"
"Insidious: Chapter 2",6.6,"Horror | Thriller",106,"77,984"
"The Book Thief",7.6,"Drama | War",131,"77,582"
"R.I.P.D.",5.6,"Action | Comedy | Sci-Fi",96,"77,169"
"The Call",6.7,"Crime | Thriller",94,"76,626"
"Parker",6.2,"Action | Crime | Thriller",118,"76,037"
"Nebraska",7.8,"Comedy | Drama",115,"75,225"
"Before Midnight",8,"Drama | Romance",109,"74,819"
"Epic",6.7,"Animation | Adventure | Family | Fantasy",102,"74,161"
"The Family",6.3,"Comedy | Crime | Thriller",111,"74,005"
"Stoker",6.9,"Drama | Mystery | Thriller",99,"73,801"
"The Spectacular Now",7.2,"Comedy | Drama | Romance",95,"73,655"
"Lee Daniels' The Butler",7.1,"Biography | Drama",132,"72,157"
"Percy Jackson: Sea of Monsters",5.9,"Adventure | Family | Fantasy",106,"72,144"
"Inside Llewyn Davis",7.5,"Drama | Music",104,"71,746"
"Only God Forgives",5.7,"Crime | Drama",90,"69,808"
"Jackass Presents: Bad Grandpa",6.6,"Comedy",92,"68,948"
"The Counselor",5.4,"Crime | Drama | Thriller",117,"68,867"
"Movie 43",4.4,"Comedy",94,"68,785"
"Homefront",6.5,"Action | Crime | Drama | Thriller",100,"68,085"
"Out of the Furnace",6.8,"Crime | Drama | Thriller",116,"67,926"
"Blue Is the Warmest Color",7.9,"Drama | Romance",179,"66,064"
"Jobs",5.9,"Biography | Drama",128,"63,233"
"Philomena",7.7,"Biography | Drama",98,"61,692"
"Begin Again",7.5,"Drama | Music",104,"61,297"
"Under the Skin",6.3,"Drama | Sci-Fi | Thriller",108,"60,627"
"Nymphomaniac: Vol. I",7.1,"Drama",117,"59,841"
"Enemy",6.8,"Mystery | Thriller",90,"59,367"
"Safe Haven",6.7,"Drama | Romance | Thriller",115,"58,934"
"Oculus",6.5,"Horror",104,"58,338"
"42",7.5,"Biography | Drama | Sport",128,"57,817"
"Locke",7.1,"Drama",85,"57,339"
"Beautiful Creatures",6.2,"Drama | Fantasy | Romance",124,"57,078"
"The Bling Ring",5.6,"Biography | Crime | Drama",90,"57,022"
"Broken City",6.2,"Crime | Drama | Thriller",109,"56,667"
"Snitch",6.5,"Action | Drama | Thriller",112,"56,599"
"Filth",7.1,"Comedy | Crime | Drama",97,"55,970"
"August: Osage County",7.3,"Drama",121,"55,240"
"The Incredible Burt Wonderstone",5.9,"Comedy | Romance",100,"54,508"
"21 & Over",5.9,"Comedy",93,"51,638"
"The Best Offer",7.8,"Crime | Drama | Mystery | Romance",131,"51,291"
"Turbo",6.5,"Animation | Adventure | Comedy | Family | Sport",96,"51,046"
"Cloudy with a Chance of Meatballs 2",6.5,"Animation | Comedy | Family | Fantasy | Sci-Fi",95,"49,663"
"All Is Lost",6.9,"Action | Adventure | Drama",106,"49,156"
"Dead Man Down",6.5,"Action | Crime | Drama | Thriller",118,"48,618"
"Dark Skies",6.3,"Horror | Sci-Fi | Thriller",97,"48,320"
"Machete Kills",5.7,"Action | Crime | Thriller",107,"48,182"
"Delivery Man",6.4,"Comedy | Drama",105,"47,477"
"The Kings of Summer",7.2,"Comedy | Drama",95,"47,396"
"Runner Runner",5.6,"Crime | Thriller",91,"45,902"
"Redemption",6.2,"Action | Crime | Drama",100,"43,013"
"Only Lovers Left Alive",7.3,"Drama | Horror | Romance",123,"42,816"
"Scary Movie 5",3.5,"Comedy",86,"42,578"
"Enough Said",7.1,"Comedy | Drama | Romance",93,"41,831"
"Europa Report",6.5,"Sci-Fi | Thriller",90,"41,190"
"The Great Beauty",7.7,"Drama",142,"40,936"
"Nymphomaniac: Vol. II",6.8,"Drama",123,"40,643"
"Oldboy",5.7,"Action | Drama | Mystery | Thriller",104,"40,055"
"Fruitvale Station",7.5,"Biography | Drama | Romance",85,"39,586"
"Drinking Buddies",6.1,"Drama | Romance",90,"38,428"
"Grudge Match",6.5,"Comedy | Sport",113,"37,465"
"The Frozen Ground",6.4,"Biography | Crime | History | Thriller",105,"37,251"
"Short Term 12",8,"Drama",96,"36,753"
"The East",6.9,"Drama | Thriller",116,"36,210"
"Horns",6.5,"Drama | Fantasy | Thriller",120,"33,809"
"The Big Wedding",5.6,"Comedy",89,"31,726"
