"Title","Rank","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close","imdb_Rating","Genres","Runtime","imdb_Votes","MPAA_rating","Critics_score","Opening_percentage","Opening_per_theater","Theater_change","Runtime_duration","imdb_votes_groups","total_gross_groups"
"12 years a slave",62,"FoxS",56671993,1474,923715,19,2013-10-18,2014-05-08,8.1,"Biography | Drama | History",134,320967,"R",9.6,1.63,48616.6,1455,202,5,3
"2 guns",45,"Uni.",75612460,3028,27059130,3025,2013-08-02,2013-10-24,6.8,"Action | Comedy | Crime | Drama | Thriller",109,132174,"R",6.3,35.79,8945.2,3,83,4,3
"42",37,"WB",95020213,3405,27487144,3003,2013-04-12,2013-07-25,7.5,"Biography | Drama | Sport",128,57817,"PG-13",7.9,28.93,9153.2,402,104,3,3
"47 ronin",78,"Uni.",38362475,2690,9910310,2689,2013-12-25,2014-02-06,6.3,"Action | Adventure | Fantasy",118,98834,"PG-13",1.5,25.83,3685.5,1,43,3,2
"a good day to die hard",52,"Fox",67349198,3555,24834845,3553,2013-02-14,2013-05-23,5.3,"Action | Crime | Thriller",98,144964,"R",1.4,36.87,6989.8,2,98,4,3
"a haunted house",77,"ORF",40041683,2160,18101682,2160,2013-01-11,2013-03-03,5,"Comedy | Horror",86,29672,"R",1,45.21,8380.4,0,51,2,2
"a.c.o.d.",296,"TFA",175705,42,19001,3,2013-10-04,2013-11-07,5.7,"Comedy",88,8499,"R",5,10.81,6333.7,39,34,1,1
"about time",124,"Uni.",15322921,1280,1076250,175,2013-11-01,2013-12-26,7.8,"Drama | Fantasy | Romance",123,152429,"R",6.9,7.02,6150,1105,55,5,2
"admission",116,"Focus",18007317,2161,6154984,2160,2013-03-22,2013-06-06,5.7,"Comedy | Drama | Romance",107,24890,"PG-13",3.8,34.18,2849.5,1,76,2,2
"adore",267,"EXCL",318982,57,119806,57,2013-09-06,2013-10-03,6.2,"Drama | Romance",112,18441,"R",3.1,37.56,2101.9,0,27,2,1
"after earth",59,"Sony",60522097,3401,27520040,3401,2013-05-31,2013-08-18,5,"Action | Adventure | Sci-Fi",100,139015,"PG-13",1.1,45.47,8091.7,0,79,4,3
"ain't them bodies saints",247,"IFC",396519,44,26419,3,2013-08-16,2013-10-03,6.4,"Crime | Drama | Romance",96,13019,"R",8,6.66,8806.3,41,48,1,1
"all is lost",145,"RAtt.",6263670,483,93583,6,2013-10-18,2014-02-27,6.9,"Action | Adventure | Drama",106,49156,"PG-13",9.3,1.49,15597.2,477,132,3,1
"american hustle",17,"Sony",150117807,2629,740455,6,2013-12-13,2014-04-06,7.3,"Crime | Drama",138,296438,"R",9.3,0.49,123409.2,2623,114,5,4
"anchorman 2: the legend continues",23,"Par.",125168368,3507,26232425,3507,2013-12-18,2014-02-20,6.4,"Comedy",119,104746,"R",7.5,20.96,7480,0,64,3,4
"august: osage county",79,"Wein.",37738810,2411,179302,5,2013-12-27,2014-05-08,7.3,"Drama",121,55240,"R",6.4,0.48,35860.4,2406,132,3,2
"austenland",181,"SPC",2159041,274,40662,4,2013-08-16,2014-01-02,6.2,"Comedy | Romance",97,11495,"PG-13",3,1.88,10165.5,270,139,1,1
"battle of the year",134,"SGem",8888355,2008,4603177,2008,2013-09-20,2013-10-20,4.9,"Music",110,6901,"PG-13",0.6,51.79,2292.4,0,30,1,1
"beautiful creatures",112,"WB",19452138,2950,7582595,2950,2013-02-14,2013-04-11,6.2,"Drama | Fantasy | Romance",124,57078,"PG-13",4.6,38.98,2570.4,0,56,3,2
"before midnight",137,"SPC",8114627,897,246914,5,2013-05-24,2013-11-07,8,"Drama | Romance",109,74819,"R",9.8,3.04,49382.8,892,167,3,1
"bhaag milkha bhaag",191,"Relbig.",1636731,140,647112,140,2013-07-12,2013-08-22,8.4,"Biography | Drama | History | Sport",186,29074,"Unrated",8.8,39.54,4622.2,0,41,2,1
"blue is the warmest color",178,"IFC",2199787,142,100316,4,2013-10-25,2014-03-13,7.9,"Drama | Romance",179,66064,"NC-17",9.1,4.56,25079,138,139,3,1
"blue jasmine",86,"SPC",33405481,1283,612064,6,2013-07-26,2014-04-03,7.3,"Drama",98,122378,"PG-13",9.1,1.83,102010.7,1277,251,4,2
"broken city",111,"Fox",19701164,2622,8268908,2620,2013-01-18,2013-04-04,6.2,"Crime | Drama | Thriller",109,56667,"R",2.8,41.97,3156.1,2,76,3,2
"captain phillips",32,"Sony",107100855,3143,25718314,3020,2013-10-11,2014-03-02,7.9,"Biography | Drama | Thriller",134,274273,"PG-13",9.3,24.01,8516,123,142,5,4
"carrie",83,"SGem",35266619,3157,16101552,3157,2013-10-18,2013-11-24,6,"Drama | Horror",100,90744,"R",4.9,45.66,5100.3,0,37,3,2
"chennai express",151,"UTV",5307960,196,2220497,196,2013-08-08,2013-10-03,6,"Action | Comedy | Romance",141,28937,"Unrated",5.7,41.83,11329.1,0,56,2,1
"closed circuit",149,"Focus",5750401,870,2464931,870,2013-08-28,2013-09-26,6.2,"Crime | Drama | Mystery | Thriller",96,14244,"R",4.2,42.87,2833.3,0,29,1,1
"cloudy with a chance of meatballs 2",26,"Sony",119793567,4001,34017930,4001,2013-09-27,2014-03-16,6.5,"Animation | Comedy | Family | Fantasy | Sci-Fi",95,49663,"PG",7,28.4,8502.4,0,170,3,4
"dallas buyers club",95,"Focus",27298285,1110,260865,9,2013-11-01,2014-05-01,8,"Biography | Drama",117,254120,"R",9.3,0.96,28985,1101,181,5,2
"dark skies",120,"W/Dim.",17418667,2313,8189166,2313,2013-02-22,2013-05-23,6.3,"Horror | Sci-Fi | Thriller",97,48320,"PG-13",4,47.01,3540.5,0,90,3,2
"dead man down",130,"FD",10895295,2188,5345250,2188,2013-03-08,2013-04-18,6.5,"Action | Crime | Drama | Thriller",118,48618,"R",3.8,49.06,2443,0,41,3,2
"delivery man",91,"BV",30664106,3036,7944977,3036,2013-11-22,2014-03-20,6.4,"Comedy | Drama",105,47477,"PG-13",3.9,25.91,2616.9,0,118,3,2
"despicable me 2",4,"Uni.",368061265,4003,83517315,3997,2013-07-03,2014-01-16,7.5,"Animation | Comedy | Family",98,225018,"PG",7.4,22.69,20895,6,197,5,6
"diana",265,"EOne",335359,100,67754,38,2013-11-01,2013-11-28,5.4,"Biography | Drama | Romance",113,11979,"PG-13",0.8,20.2,1783,62,27,1,1
"don jon",102,"Rela.",24477704,2422,8677009,2422,2013-09-27,2014-01-09,6.6,"Comedy | Drama | Romance",90,160426,"R",8.1,35.45,3582.6,0,104,5,2
"drinking buddies",259,"Magn.",343341,33,19505,2,2013-08-23,2013-11-21,6.1,"Drama | Romance",90,38428,"R",8.3,5.68,9752.5,31,90,3,1
"elysium",38,"TriS",93050117,3284,29807393,3284,2013-08-09,2013-11-24,6.7,"Action | Drama | Sci-Fi | Thriller",109,271193,"R",6.8,32.03,9076.6,0,107,5,3
"ender's game",57,"LG/S",61737191,3407,27017351,3407,2013-11-01,2014-01-09,6.7,"Action | Sci-Fi",114,156261,"PG-13",6,43.76,7930,0,69,5,3
"enough said",119,"FoxS",17550872,835,232800,4,2013-09-18,2014-01-16,7.1,"Comedy | Drama | Romance",93,41831,"PG-13",9.6,1.33,58200,831,120,3,2
"epic",31,"Fox",107518682,3894,33531068,3882,2013-05-24,2013-09-19,6.7,"Animation | Adventure | Family | Fantasy",102,74161,"PG",6.4,31.19,8637.6,12,118,3,4
"escape from planet earth",61,"Wein.",57012977,3353,15891055,3288,2013-02-15,2013-07-25,5.9,"Animation | Adventure | Comedy | Family | Sci-Fi",89,17940,"PG",3.3,27.87,4833,65,160,2,3
"escape plan",101,"LG/S",25135965,2883,9885732,2883,2013-10-18,2014-01-16,6.8,"Action | Mystery | Thriller",115,146899,"R",4.8,39.33,3429,0,90,4,2
"evil dead",65,"TriS",54239856,3025,25775847,3025,2013-04-05,2013-06-09,6.5,"Horror",91,107571,"R",6.2,47.52,8520.9,0,65,3,3
"fast & furious 6",9,"Uni.",238679850,3771,97375245,3658,2013-05-24,2013-09-05,7.2,"Action | Crime | Thriller",130,242417,"PG-13",6.8,40.8,26619.8,113,104,5,5
"free birds",63,"Rela.",55750480,3736,15805237,3736,2013-11-01,2014-03-20,5.9,"Animation | Adventure | Comedy | Family",91,15245,"PG",1.8,28.35,4230.5,0,139,2,3
"frozen",3,"BV",400738009,3742,243390,1,2013-11-22,2014-07-17,7.7,"Animation | Adventure | Comedy | Family | Fantasy | Musical",102,325893,"PG",8.9,0.06,243390,3741,237,5,6
"fruitvale station",123,"Wein.",16101339,1086,386291,7,2013-07-12,2013-10-31,7.5,"Biography | Drama | Romance",85,39586,"R",9.4,2.4,55184.4,1079,111,3,2
"g.i. joe: retaliation",25,"Par.",122523060,3734,40501814,3719,2013-03-28,2013-07-18,5.8,"Action | Adventure | Sci-Fi | Thriller",110,127745,"PG-13",2.8,33.06,10890.5,15,112,4,4
"gangster squad",71,"WB",46000903,3103,17070347,3103,2013-01-11,2013-04-04,6.8,"Action | Crime | Drama | Thriller",113,155737,"R",3.2,37.11,5501.2,0,83,5,2
"getaway",131,"WB",10501938,2135,4503892,2130,2013-08-30,2013-10-03,4.4,"Action | Crime | Thriller",90,16694,"PG-13",0.2,42.89,2114.5,5,34,2,2
"gravity",6,"WB",274092705,3820,55785112,3575,2013-10-04,2014-05-08,7.9,"Sci-Fi | Thriller",91,482919,"PG-13",9.7,20.35,15604.2,245,216,5,5
"grown ups 2",21,"Sony",133668525,3491,41508572,3491,2013-07-12,2013-11-17,5.4,"Comedy",101,88282,"PG-13",0.7,31.05,11890.2,0,128,3,4
"grudge match",92,"WB",29807260,2856,7021993,2838,2013-12-25,2014-03-13,6.5,"Comedy | Sport",113,37465,"PG-13",2.9,23.56,2474.3,18,78,3,2
